Puzzle_ID,Is_Correct
out_p01_vadversarial,0
out_p01_vcommon,10
out_p01_vlinguistic_obfuscation,0
out_p01_vmath,6
out_p01_vparametrization,0
out_p02_vadversarial,0
out_p02_vcommon,1
out_p02_vlinguistic_obfuscation,6
out_p02_vmath,7
out_p02_vparametrization,3
out_p03_vadversarial,0
out_p03_vcommon,2
out_p03_vlinguistic_obfuscation,0
out_p03_vmath,0
out_p03_vparametrization,0
out_p04_vadversarial,0
out_p04_vcommon,0
out_p04_vlinguistic_obfuscation,0
out_p04_vmath,0
out_p04_vparametrization,0
out_p05_vadversarial,0
out_p05_vcommon,0
out_p05_vlinguistic_obfuscation,1
out_p05_vmath,1
out_p05_vparametrization,0
out_p06_vadversarial,0
out_p06_vcommon,0
out_p06_vlinguistic_obfuscation,0
out_p06_vmath,0
out_p06_vparametrization,0
out_p07_vadversarial,2
out_p07_vcommon,5
out_p07_vlinguistic_obfuscation,0
out_p07_vmath,3
out_p07_vparametrization,1
out_p08_vadversarial,1
out_p08_vcommon,10
out_p08_vlinguistic_obfuscation,5
out_p08_vmath,7
out_p08_vparametrization,0
out_p09_vadversarial,0
out_p09_vcommon,0
out_p09_vlinguistic_obfuscation,0
out_p09_vmath,0
out_p09_vparametrization,0
out_p10_vadversarial,0
out_p10_vcommon,0
out_p10_vlinguistic_obfuscation,0
out_p10_vmath,0
out_p10_vparametrization,0
out_p11_vadversarial,0
out_p11_vcommon,0
out_p11_vlinguistic_obfuscation,1
out_p11_vmath,0
out_p11_vparametrization,0
out_p12_vadversarial,3
out_p12_vcommon,3
out_p12_vlinguistic_obfuscation,9
out_p12_vmath,5
out_p12_vparametrization,6
out_p13_vadversarial,3
out_p13_vcommon,5
out_p13_vlinguistic_obfuscation,3
out_p13_vmath,0
out_p13_vparametrization,0
out_p14_vadversarial,0
out_p14_vcommon,0
out_p14_vlinguistic_obfuscation,0
out_p14_vmath,0
out_p14_vparametrization,0
out_p15_vadversarial,0
out_p15_vcommon,1
out_p15_vlinguistic_obfuscation,0
out_p15_vmath,0
out_p15_vparametrization,0
out_p16_vadversarial,0
out_p16_vcommon,0
out_p16_vlinguistic_obfuscation,0
out_p16_vmath,0
out_p16_vparametrization,0
out_p17_vadversarial,0
out_p17_vcommon,0
out_p17_vlinguistic_obfuscation,0
out_p17_vmath,0
out_p17_vparametrization,0
out_p18_vadversarial,0
out_p18_vcommon,0
out_p18_vlinguistic_obfuscation,0
out_p18_vmath,0
out_p18_vparametrization,2
out_p19_vadversarial,0
out_p19_vcommon,0
out_p19_vlinguistic_obfuscation,0
out_p19_vmath,0
out_p19_vparametrization,0
out_p20_vadversarial,0
out_p20_vcommon,0
out_p20_vlinguistic_obfuscation,0
out_p20_vmath,0
out_p20_vparametrization,0
out_p21_vadversarial,0
out_p21_vcommon,0
out_p21_vlinguistic_obfuscation,0
out_p21_vmath,3
out_p21_vparametrization,0
out_p22_vadversarial,0
out_p22_vcommon,2
out_p22_vlinguistic_obfuscation,1
out_p22_vmath,4
out_p22_vparametrization,1
out_p23_vadversarial,1
out_p23_vcommon,0
out_p23_vlinguistic_obfuscation,0
out_p23_vmath,0
out_p23_vparametrization,0
out_p24_vadversarial,3
out_p24_vcommon,9
out_p24_vlinguistic_obfuscation,2
out_p24_vmath,7
out_p24_vparametrization,7
out_p25_vadversarial,0
out_p25_vcommon,0
out_p25_vlinguistic_obfuscation,0
out_p25_vmath,0
out_p25_vparametrization,0
