Puzzle_ID,Model_Name,Run #,Is_Correct
out_p01_vadversarial,mixtral-8x7b-ins,0,1
out_p01_vadversarial,mixtral-8x7b-ins,1,0
out_p01_vadversarial,mixtral-8x7b-ins,2,0
out_p01_vadversarial,mixtral-8x7b-ins,3,1
out_p01_vadversarial,mixtral-8x7b-ins,4,1
out_p01_vadversarial,mixtral-8x7b-ins,5,1
out_p01_vadversarial,mixtral-8x7b-ins,6,1
out_p01_vadversarial,mixtral-8x7b-ins,7,0
out_p01_vadversarial,mixtral-8x7b-ins,8,1
out_p01_vadversarial,mixtral-8x7b-ins,9,0
out_p01_vcommon,mixtral-8x7b-ins,0,1
out_p01_vcommon,mixtral-8x7b-ins,1,1
out_p01_vcommon,mixtral-8x7b-ins,2,1
out_p01_vcommon,mixtral-8x7b-ins,3,0
out_p01_vcommon,mixtral-8x7b-ins,4,1
out_p01_vcommon,mixtral-8x7b-ins,5,0
out_p01_vcommon,mixtral-8x7b-ins,6,1
out_p01_vcommon,mixtral-8x7b-ins,7,0
out_p01_vcommon,mixtral-8x7b-ins,8,0
out_p01_vcommon,mixtral-8x7b-ins,9,1
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,0,0
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,1,1
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,2,1
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,3,0
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,4,0
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,5,0
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,6,0
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,7,1
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,8,0
out_p01_vlinguistic_obfuscation,mixtral-8x7b-ins,9,0
out_p01_vmath,mixtral-8x7b-ins,0,1
out_p01_vmath,mixtral-8x7b-ins,1,0
out_p01_vmath,mixtral-8x7b-ins,2,0
out_p01_vmath,mixtral-8x7b-ins,3,0
out_p01_vmath,mixtral-8x7b-ins,4,1
out_p01_vmath,mixtral-8x7b-ins,5,0
out_p01_vmath,mixtral-8x7b-ins,6,0
out_p01_vmath,mixtral-8x7b-ins,7,1
out_p01_vmath,mixtral-8x7b-ins,8,1
out_p01_vmath,mixtral-8x7b-ins,9,0
out_p01_vparametrization,mixtral-8x7b-ins,0,0
out_p01_vparametrization,mixtral-8x7b-ins,1,0
out_p01_vparametrization,mixtral-8x7b-ins,2,1
out_p01_vparametrization,mixtral-8x7b-ins,3,1
out_p01_vparametrization,mixtral-8x7b-ins,4,1
out_p01_vparametrization,mixtral-8x7b-ins,5,0
out_p01_vparametrization,mixtral-8x7b-ins,6,1
out_p01_vparametrization,mixtral-8x7b-ins,7,1
out_p01_vparametrization,mixtral-8x7b-ins,8,1
out_p01_vparametrization,mixtral-8x7b-ins,9,0
out_p02_vadversarial,mixtral-8x7b-ins,0,1
out_p02_vadversarial,mixtral-8x7b-ins,1,1
out_p02_vadversarial,mixtral-8x7b-ins,2,1
out_p02_vadversarial,mixtral-8x7b-ins,3,1
out_p02_vadversarial,mixtral-8x7b-ins,4,0
out_p02_vadversarial,mixtral-8x7b-ins,5,1
out_p02_vadversarial,mixtral-8x7b-ins,6,1
out_p02_vadversarial,mixtral-8x7b-ins,7,1
out_p02_vadversarial,mixtral-8x7b-ins,8,1
out_p02_vadversarial,mixtral-8x7b-ins,9,1
out_p02_vcommon,mixtral-8x7b-ins,0,1
out_p02_vcommon,mixtral-8x7b-ins,1,1
out_p02_vcommon,mixtral-8x7b-ins,2,1
out_p02_vcommon,mixtral-8x7b-ins,3,1
out_p02_vcommon,mixtral-8x7b-ins,4,1
out_p02_vcommon,mixtral-8x7b-ins,5,1
out_p02_vcommon,mixtral-8x7b-ins,6,1
out_p02_vcommon,mixtral-8x7b-ins,7,1
out_p02_vcommon,mixtral-8x7b-ins,8,1
out_p02_vcommon,mixtral-8x7b-ins,9,1
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,0,1
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,1,1
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,2,0
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,3,1
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,4,1
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,5,0
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,6,0
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,7,1
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,8,0
out_p02_vlinguistic_obfuscation,mixtral-8x7b-ins,9,1
out_p02_vmath,mixtral-8x7b-ins,0,1
out_p02_vmath,mixtral-8x7b-ins,1,1
out_p02_vmath,mixtral-8x7b-ins,2,1
out_p02_vmath,mixtral-8x7b-ins,3,1
out_p02_vmath,mixtral-8x7b-ins,4,1
out_p02_vmath,mixtral-8x7b-ins,5,1
out_p02_vmath,mixtral-8x7b-ins,6,1
out_p02_vmath,mixtral-8x7b-ins,7,1
out_p02_vmath,mixtral-8x7b-ins,8,1
out_p02_vmath,mixtral-8x7b-ins,9,1
out_p02_vparametrization,mixtral-8x7b-ins,0,0
out_p02_vparametrization,mixtral-8x7b-ins,1,0
out_p02_vparametrization,mixtral-8x7b-ins,2,1
out_p02_vparametrization,mixtral-8x7b-ins,3,1
out_p02_vparametrization,mixtral-8x7b-ins,4,1
out_p02_vparametrization,mixtral-8x7b-ins,5,0
out_p02_vparametrization,mixtral-8x7b-ins,6,1
out_p02_vparametrization,mixtral-8x7b-ins,7,1
out_p02_vparametrization,mixtral-8x7b-ins,8,1
out_p02_vparametrization,mixtral-8x7b-ins,9,1
out_p03_vadversarial,mixtral-8x7b-ins,0,0
out_p03_vadversarial,mixtral-8x7b-ins,1,1
out_p03_vadversarial,mixtral-8x7b-ins,2,1
out_p03_vadversarial,mixtral-8x7b-ins,3,0
out_p03_vadversarial,mixtral-8x7b-ins,4,0
out_p03_vadversarial,mixtral-8x7b-ins,5,1
out_p03_vadversarial,mixtral-8x7b-ins,6,0
out_p03_vadversarial,mixtral-8x7b-ins,7,0
out_p03_vadversarial,mixtral-8x7b-ins,8,0
out_p03_vadversarial,mixtral-8x7b-ins,9,0
out_p03_vcommon,mixtral-8x7b-ins,0,1
out_p03_vcommon,mixtral-8x7b-ins,1,0
out_p03_vcommon,mixtral-8x7b-ins,2,0
out_p03_vcommon,mixtral-8x7b-ins,3,0
out_p03_vcommon,mixtral-8x7b-ins,4,0
out_p03_vcommon,mixtral-8x7b-ins,5,1
out_p03_vcommon,mixtral-8x7b-ins,6,1
out_p03_vcommon,mixtral-8x7b-ins,7,0
out_p03_vcommon,mixtral-8x7b-ins,8,0
out_p03_vcommon,mixtral-8x7b-ins,9,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,0,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,1,1
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,2,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,3,1
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,4,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,5,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,6,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,7,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,8,0
out_p03_vlinguistic_obfuscation,mixtral-8x7b-ins,9,1
out_p03_vmath,mixtral-8x7b-ins,0,0
out_p03_vmath,mixtral-8x7b-ins,1,1
out_p03_vmath,mixtral-8x7b-ins,2,0
out_p03_vmath,mixtral-8x7b-ins,3,1
out_p03_vmath,mixtral-8x7b-ins,4,1
out_p03_vmath,mixtral-8x7b-ins,5,1
out_p03_vmath,mixtral-8x7b-ins,6,0
out_p03_vmath,mixtral-8x7b-ins,7,1
out_p03_vmath,mixtral-8x7b-ins,8,0
out_p03_vmath,mixtral-8x7b-ins,9,1
out_p03_vparametrization,mixtral-8x7b-ins,0,0
out_p03_vparametrization,mixtral-8x7b-ins,1,0
out_p03_vparametrization,mixtral-8x7b-ins,2,0
out_p03_vparametrization,mixtral-8x7b-ins,3,0
out_p03_vparametrization,mixtral-8x7b-ins,4,0
out_p03_vparametrization,mixtral-8x7b-ins,5,0
out_p03_vparametrization,mixtral-8x7b-ins,6,0
out_p03_vparametrization,mixtral-8x7b-ins,7,0
out_p03_vparametrization,mixtral-8x7b-ins,8,0
out_p03_vparametrization,mixtral-8x7b-ins,9,0
out_p04_vadversarial,mixtral-8x7b-ins,0,0
