Puzzle_ID,Model_Name,Run #,Is_Correct
out_p01_vadversarial,gpt-4-1106-preview,0,1
out_p01_vadversarial,gpt-4-1106-preview,1,1
out_p01_vadversarial,gpt-4-1106-preview,2,1
out_p01_vadversarial,gpt-4-1106-preview,3,1
out_p01_vadversarial,gpt-4-1106-preview,4,1
out_p01_vcommon,gpt-4-1106-preview,0,1
out_p01_vcommon,gpt-4-1106-preview,1,1
out_p01_vcommon,gpt-4-1106-preview,2,1
out_p01_vcommon,gpt-4-1106-preview,3,1
out_p01_vcommon,gpt-4-1106-preview,4,1
out_p01_vlinguistic_obfuscation,gpt-4-1106-preview,0,1
out_p01_vlinguistic_obfuscation,gpt-4-1106-preview,1,1
out_p01_vlinguistic_obfuscation,gpt-4-1106-preview,2,1
out_p01_vlinguistic_obfuscation,gpt-4-1106-preview,3,1
out_p01_vlinguistic_obfuscation,gpt-4-1106-preview,4,1
out_p01_vmath,gpt-4-1106-preview,0,1
out_p01_vmath,gpt-4-1106-preview,1,1
out_p01_vmath,gpt-4-1106-preview,2,1
out_p01_vmath,gpt-4-1106-preview,3,1
out_p01_vmath,gpt-4-1106-preview,4,1
out_p01_vparametrization,gpt-4-1106-preview,0,1
out_p01_vparametrization,gpt-4-1106-preview,1,1
out_p01_vparametrization,gpt-4-1106-preview,2,1
out_p01_vparametrization,gpt-4-1106-preview,3,1
out_p01_vparametrization,gpt-4-1106-preview,4,1
out_p02_vadversarial,gpt-4-1106-preview,0,1
out_p02_vadversarial,gpt-4-1106-preview,1,1
out_p02_vadversarial,gpt-4-1106-preview,2,1
out_p02_vadversarial,gpt-4-1106-preview,3,1
out_p02_vadversarial,gpt-4-1106-preview,4,1
out_p02_vcommon,gpt-4-1106-preview,0,1
out_p02_vcommon,gpt-4-1106-preview,1,1
out_p02_vcommon,gpt-4-1106-preview,2,1
out_p02_vcommon,gpt-4-1106-preview,3,1
out_p02_vcommon,gpt-4-1106-preview,4,1
out_p02_vlinguistic_obfuscation,gpt-4-1106-preview,0,1
out_p02_vlinguistic_obfuscation,gpt-4-1106-preview,1,1
out_p02_vlinguistic_obfuscation,gpt-4-1106-preview,2,1
out_p02_vlinguistic_obfuscation,gpt-4-1106-preview,3,1
out_p02_vlinguistic_obfuscation,gpt-4-1106-preview,4,1
out_p02_vmath,gpt-4-1106-preview,0,1
out_p02_vmath,gpt-4-1106-preview,1,1
out_p02_vmath,gpt-4-1106-preview,2,1
out_p02_vmath,gpt-4-1106-preview,3,1
out_p02_vmath,gpt-4-1106-preview,4,1
out_p02_vparametrization,gpt-4-1106-preview,0,1
out_p02_vparametrization,gpt-4-1106-preview,1,1
out_p02_vparametrization,gpt-4-1106-preview,2,1
out_p02_vparametrization,gpt-4-1106-preview,3,1
out_p02_vparametrization,gpt-4-1106-preview,4,1
out_p03_vadversarial,gpt-4-1106-preview,0,1
out_p03_vadversarial,gpt-4-1106-preview,1,1
out_p03_vadversarial,gpt-4-1106-preview,2,1
out_p03_vadversarial,gpt-4-1106-preview,3,1
out_p03_vadversarial,gpt-4-1106-preview,4,1
out_p03_vcommon,gpt-4-1106-preview,0,1
out_p03_vcommon,gpt-4-1106-preview,1,1
out_p03_vcommon,gpt-4-1106-preview,2,1
out_p03_vcommon,gpt-4-1106-preview,3,1
out_p03_vcommon,gpt-4-1106-preview,4,1
out_p03_vlinguistic_obfuscation,gpt-4-1106-preview,0,1
out_p03_vlinguistic_obfuscation,gpt-4-1106-preview,1,1
out_p03_vlinguistic_obfuscation,gpt-4-1106-preview,2,1
out_p03_vlinguistic_obfuscation,gpt-4-1106-preview,3,1
out_p03_vlinguistic_obfuscation,gpt-4-1106-preview,4,1
out_p03_vmath,gpt-4-1106-preview,0,1
out_p03_vmath,gpt-4-1106-preview,1,1
out_p03_vmath,gpt-4-1106-preview,2,1
out_p03_vmath,gpt-4-1106-preview,3,1
out_p03_vmath,gpt-4-1106-preview,4,1
out_p03_vparametrization,gpt-4-1106-preview,0,0
out_p03_vparametrization,gpt-4-1106-preview,1,0
out_p03_vparametrization,gpt-4-1106-preview,2,1
out_p03_vparametrization,gpt-4-1106-preview,3,0
out_p03_vparametrization,gpt-4-1106-preview,4,0
