Puzzle_ID,Model_Name,Run #,Is_Correct,
out_p01_vadversarial,Llama-2-70B-Chat,0,1,
out_p01_vadversarial,Llama-2-70B-Chat,1,0,
out_p01_vadversarial,Llama-2-70B-Chat,2,1,
out_p01_vadversarial,Llama-2-70B-Chat,3,0,
out_p01_vadversarial,Llama-2-70B-Chat,4,0,
out_p01_vadversarial,Llama-2-70B-Chat,5,0,
out_p01_vadversarial,Llama-2-70B-Chat,6,1,
out_p01_vadversarial,Llama-2-70B-Chat,7,1,
out_p01_vadversarial,Llama-2-70B-Chat,8,0,
out_p01_vadversarial,Llama-2-70B-Chat,9,0,
out_p01_vcommon,Llama-2-70B-Chat,0,1,
out_p01_vcommon,Llama-2-70B-Chat,1,1,
out_p01_vcommon,Llama-2-70B-Chat,2,1,
out_p01_vcommon,Llama-2-70B-Chat,3,1,
out_p01_vcommon,Llama-2-70B-Chat,4,1,
out_p01_vcommon,Llama-2-70B-Chat,5,1,
out_p01_vcommon,Llama-2-70B-Chat,6,1,
out_p01_vcommon,Llama-2-70B-Chat,7,1,
out_p01_vcommon,Llama-2-70B-Chat,8,1,
out_p01_vcommon,Llama-2-70B-Chat,9,1,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,0,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,1,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,2,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,3,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,4,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,5,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,6,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,7,0,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,8,1,
out_p01_vlinguistic_obfuscation,Llama-2-70B-Chat,9,0,
out_p01_vmath,Llama-2-70B-Chat,0,0,
out_p01_vmath,Llama-2-70B-Chat,1,0,
out_p01_vmath,Llama-2-70B-Chat,2,1,
out_p01_vmath,Llama-2-70B-Chat,3,1,
out_p01_vmath,Llama-2-70B-Chat,4,0,
out_p01_vmath,Llama-2-70B-Chat,5,0,
out_p01_vmath,Llama-2-70B-Chat,6,0,
out_p01_vmath,Llama-2-70B-Chat,7,1,
out_p01_vmath,Llama-2-70B-Chat,8,0,
out_p01_vmath,Llama-2-70B-Chat,9,0,
out_p01_vparametrization,Llama-2-70B-Chat,0,0,
out_p01_vparametrization,Llama-2-70B-Chat,1,0,
out_p01_vparametrization,Llama-2-70B-Chat,2,1,
out_p01_vparametrization,Llama-2-70B-Chat,3,0,
out_p01_vparametrization,Llama-2-70B-Chat,4,0,
out_p01_vparametrization,Llama-2-70B-Chat,5,1,
out_p01_vparametrization,Llama-2-70B-Chat,6,0,
out_p01_vparametrization,Llama-2-70B-Chat,7,1,
out_p01_vparametrization,Llama-2-70B-Chat,8,1,
out_p01_vparametrization,Llama-2-70B-Chat,9,0,
out_p02_vadversarial,Llama-2-70B-Chat,0,0,
out_p02_vadversarial,Llama-2-70B-Chat,1,1,
out_p02_vadversarial,Llama-2-70B-Chat,2,1,
out_p02_vadversarial,Llama-2-70B-Chat,3,0,
out_p02_vadversarial,Llama-2-70B-Chat,4,0,
out_p02_vadversarial,Llama-2-70B-Chat,5,1,
out_p02_vadversarial,Llama-2-70B-Chat,6,0,
out_p02_vadversarial,Llama-2-70B-Chat,7,0,
out_p02_vadversarial,Llama-2-70B-Chat,8,0,
out_p02_vadversarial,Llama-2-70B-Chat,9,0,
out_p02_vcommon,Llama-2-70B-Chat,0,0,
out_p02_vcommon,Llama-2-70B-Chat,1,0,
out_p02_vcommon,Llama-2-70B-Chat,2,0,
out_p02_vcommon,Llama-2-70B-Chat,3,0,
out_p02_vcommon,Llama-2-70B-Chat,4,0,
out_p02_vcommon,Llama-2-70B-Chat,5,0,
out_p02_vcommon,Llama-2-70B-Chat,6,0,
out_p02_vcommon,Llama-2-70B-Chat,7,0,
out_p02_vcommon,Llama-2-70B-Chat,8,1,
out_p02_vcommon,Llama-2-70B-Chat,9,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,0,1,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,1,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,2,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,3,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,4,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,5,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,6,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,7,1,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,8,0,
out_p02_vlinguistic_obfuscation,Llama-2-70B-Chat,9,1,
out_p02_vmath,Llama-2-70B-Chat,0,0,
out_p02_vmath,Llama-2-70B-Chat,1,0,
out_p02_vmath,Llama-2-70B-Chat,2,0,
out_p02_vmath,Llama-2-70B-Chat,3,0,
out_p02_vmath,Llama-2-70B-Chat,4,0,
out_p02_vmath,Llama-2-70B-Chat,5,0,
out_p02_vmath,Llama-2-70B-Chat,6,0,
out_p02_vmath,Llama-2-70B-Chat,7,0,
out_p02_vmath,Llama-2-70B-Chat,8,0,
out_p02_vmath,Llama-2-70B-Chat,9,0,
out_p02_vparametrization,Llama-2-70B-Chat,0,0,
out_p02_vparametrization,Llama-2-70B-Chat,1,1,
out_p02_vparametrization,Llama-2-70B-Chat,2,0,
out_p02_vparametrization,Llama-2-70B-Chat,3,1,
out_p02_vparametrization,Llama-2-70B-Chat,4,1,
out_p02_vparametrization,Llama-2-70B-Chat,5,1,
out_p02_vparametrization,Llama-2-70B-Chat,6,0,
out_p02_vparametrization,Llama-2-70B-Chat,7,1,
out_p02_vparametrization,Llama-2-70B-Chat,8,0,
out_p02_vparametrization,Llama-2-70B-Chat,9,0,
out_p03_vadversarial,Llama-2-70B-Chat,0,0,
out_p03_vadversarial,Llama-2-70B-Chat,1,0,
out_p03_vadversarial,Llama-2-70B-Chat,2,0,
out_p03_vadversarial,Llama-2-70B-Chat,3,0,
out_p03_vadversarial,Llama-2-70B-Chat,4,0,
out_p03_vadversarial,Llama-2-70B-Chat,5,0,
out_p03_vadversarial,Llama-2-70B-Chat,6,0,
out_p03_vadversarial,Llama-2-70B-Chat,7,0,
out_p03_vadversarial,Llama-2-70B-Chat,8,0,
out_p03_vadversarial,Llama-2-70B-Chat,9,0,
out_p03_vcommon,Llama-2-70B-Chat,0,0,
out_p03_vcommon,Llama-2-70B-Chat,1,0,
out_p03_vcommon,Llama-2-70B-Chat,2,0,
out_p03_vcommon,Llama-2-70B-Chat,3,0,
out_p03_vcommon,Llama-2-70B-Chat,4,0,
out_p03_vcommon,Llama-2-70B-Chat,5,0,
out_p03_vcommon,Llama-2-70B-Chat,6,0,
out_p03_vcommon,Llama-2-70B-Chat,7,0,
out_p03_vcommon,Llama-2-70B-Chat,8,0,
out_p03_vcommon,Llama-2-70B-Chat,9,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,0,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,1,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,2,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,3,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,4,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,5,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,6,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,7,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,8,0,
out_p03_vlinguistic_obfuscation,Llama-2-70B-Chat,9,0,
out_p03_vmath,Llama-2-70B-Chat,0,0,
out_p03_vmath,Llama-2-70B-Chat,1,0,
out_p03_vmath,Llama-2-70B-Chat,2,0,
out_p03_vmath,Llama-2-70B-Chat,3,0,
out_p03_vmath,Llama-2-70B-Chat,4,0,
out_p03_vmath,Llama-2-70B-Chat,5,0,
out_p03_vmath,Llama-2-70B-Chat,6,0,
out_p03_vmath,Llama-2-70B-Chat,7,1,
out_p03_vmath,Llama-2-70B-Chat,8,0,
out_p03_vmath,Llama-2-70B-Chat,9,1,
out_p03_vparametrization,Llama-2-70B-Chat,0,0,
out_p03_vparametrization,Llama-2-70B-Chat,1,0,
out_p03_vparametrization,Llama-2-70B-Chat,2,0,
out_p03_vparametrization,Llama-2-70B-Chat,3,0,
out_p03_vparametrization,Llama-2-70B-Chat,4,0,
out_p03_vparametrization,Llama-2-70B-Chat,5,0,
out_p03_vparametrization,Llama-2-70B-Chat,6,0,
out_p03_vparametrization,Llama-2-70B-Chat,7,0,
out_p03_vparametrization,Llama-2-70B-Chat,8,0,
out_p03_vparametrization,Llama-2-70B-Chat,9,0,
out_p04_vadversarial,Llama-2-70B-Chat,0,0,
out_p04_vadversarial,Llama-2-70B-Chat,1,0,
