Puzzle_ID,Model_Name,Run #,Is_Correct
out_p01_vadversarial,Meta-Llama-3.1-70B-Instruc,0,0
out_p01_vadversarial,Meta-Llama-3.1-70B-Instruc,1,0
out_p01_vadversarial,Meta-Llama-3.1-70B-Instruc,2,0
out_p01_vadversarial,Meta-Llama-3.1-70B-Instruc,3,1
out_p01_vadversarial,Meta-Llama-3.1-70B-Instruc,4,0
out_p01_vcommon,Meta-Llama-3.1-70B-Instruc,0,1
out_p01_vcommon,Meta-Llama-3.1-70B-Instruc,1,1
out_p01_vcommon,Meta-Llama-3.1-70B-Instruc,2,1
out_p01_vcommon,Meta-Llama-3.1-70B-Instruc,3,1
out_p01_vcommon,Meta-Llama-3.1-70B-Instruc,4,1
out_p01_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,0,1
out_p01_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,1,1
out_p01_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,2,0
out_p01_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,3,1
out_p01_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,4,1
out_p01_vmath,Meta-Llama-3.1-70B-Instruc,0,1
out_p01_vmath,Meta-Llama-3.1-70B-Instruc,1,1
out_p01_vmath,Meta-Llama-3.1-70B-Instruc,2,1
out_p01_vmath,Meta-Llama-3.1-70B-Instruc,3,1
out_p01_vmath,Meta-Llama-3.1-70B-Instruc,4,1
out_p01_vparametrization,Meta-Llama-3.1-70B-Instruc,0,1
out_p01_vparametrization,Meta-Llama-3.1-70B-Instruc,1,1
out_p01_vparametrization,Meta-Llama-3.1-70B-Instruc,2,1
out_p01_vparametrization,Meta-Llama-3.1-70B-Instruc,3,1
out_p01_vparametrization,Meta-Llama-3.1-70B-Instruc,4,1
out_p02_vadversarial,Meta-Llama-3.1-70B-Instruc,0,0
out_p02_vadversarial,Meta-Llama-3.1-70B-Instruc,1,0
out_p02_vadversarial,Meta-Llama-3.1-70B-Instruc,2,1
out_p02_vadversarial,Meta-Llama-3.1-70B-Instruc,3,1
out_p02_vadversarial,Meta-Llama-3.1-70B-Instruc,4,0
out_p02_vcommon,Meta-Llama-3.1-70B-Instruc,0,1
out_p02_vcommon,Meta-Llama-3.1-70B-Instruc,1,1
out_p02_vcommon,Meta-Llama-3.1-70B-Instruc,2,1
out_p02_vcommon,Meta-Llama-3.1-70B-Instruc,3,1
out_p02_vcommon,Meta-Llama-3.1-70B-Instruc,4,1
out_p02_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,0,1
out_p02_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,1,1
out_p02_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,2,1
out_p02_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,3,1
out_p02_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,4,1
out_p02_vmath,Meta-Llama-3.1-70B-Instruc,0,1
out_p02_vmath,Meta-Llama-3.1-70B-Instruc,1,1
out_p02_vmath,Meta-Llama-3.1-70B-Instruc,2,1
out_p02_vmath,Meta-Llama-3.1-70B-Instruc,3,1
out_p02_vmath,Meta-Llama-3.1-70B-Instruc,4,1
out_p02_vparametrization,Meta-Llama-3.1-70B-Instruc,0,1
out_p02_vparametrization,Meta-Llama-3.1-70B-Instruc,1,1
out_p02_vparametrization,Meta-Llama-3.1-70B-Instruc,2,1
out_p02_vparametrization,Meta-Llama-3.1-70B-Instruc,3,1
out_p02_vparametrization,Meta-Llama-3.1-70B-Instruc,4,1
out_p03_vadversarial,Meta-Llama-3.1-70B-Instruc,0,1
out_p03_vadversarial,Meta-Llama-3.1-70B-Instruc,1,1
out_p03_vadversarial,Meta-Llama-3.1-70B-Instruc,2,1
out_p03_vadversarial,Meta-Llama-3.1-70B-Instruc,3,1
out_p03_vadversarial,Meta-Llama-3.1-70B-Instruc,4,1
out_p03_vcommon,Meta-Llama-3.1-70B-Instruc,0,1
out_p03_vcommon,Meta-Llama-3.1-70B-Instruc,1,1
out_p03_vcommon,Meta-Llama-3.1-70B-Instruc,2,1
out_p03_vcommon,Meta-Llama-3.1-70B-Instruc,3,1
out_p03_vcommon,Meta-Llama-3.1-70B-Instruc,4,1
out_p03_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,0,1
out_p03_vlinguistic_obfuscation,Meta-Llama-3.1-70B-Instruc,1,1
